Code,Description
S1-1,School
S3-1,School Bus Stop Ahead
S4-1,8:30 Am To 5:30 Pm
S4-2,When Children Are Present
S4-3,School
S4-4,When Flashing
S4-5,Reduced Speed (School) Zone Ahead
S4-5A,Reduced Speed (School) Zone Ahead
S4-6,Mon-Fri
S5-1,School Speed Limit (When Flashing) (English)
S5-1,School Speed Limit (Metric)
S5-2,End School Zone
W1-R And W1-1L,Turn
W1-1A R And W1-1A L Metric,Turn (English)
"W1-2, W1-2A R, W1-2A R","Curve, Curve Metric, Curve (English)"
"W1-3L, W1-3R",Reverse Turn
"W1-4L, W1-4R",Reverse Curve
"W1-5L, W1-5R",Winding Road
"W1-6L, W1-6R",One Direction Large Arrow
W1-7,Two Direction Large Arrow
"W1-8L, W1-8R",Chevron Alignment
"W1-10L, W1-10R",Horizontal Alignment
W1-11,Hairpin Curve
W1-13,Truck Rollover
W1-15,270 Degree Loop
W2-1,Cross Road
"W2-2L, W2-2R",Side Road
"W2-3L, W2-3R",Side Road
W2-4,T-Symbol
W2-5,Y-Symbol
W2-6,Circular Intersection
W3-1,Stop Ahead
W3-1A,Stop Ahead
W3-2,Yield Ahead
W3-2A,Yield Ahead
W3-3,Signal Ahead
W3-3A,Signal Ahead
W3-4,Be Prepared To Stop
W3-5,Speed Reduction
W3-5A,"Speed Reuction (English), Speed Reduction (Metric)"
W3-6,Draw Bridge Ahead
"W4-1L, W4-1R",Merge
"W4-2L, W4-2R",Lane Ends
"W4-3L, W4-3R",Added Lane
W4-4P,Traffic Does Not Stop
W4-5,Entering Roadway Merge
W4-6,Entering Roadway Added Lane
W5-1,Road Narrows
W5-2,Narrow Bridge
W5-3,One Lane Bridge
W5-4,Ramp Narrows
W5-4A,Bikeway Narrows
W6-1,Divided Highway
W6-1A,Divided Highway
W6-1B,Divided Road
W6-2,Divided Highway Ends
W6-2A,Divided Highway Ends
W6-2B,Divided Road Ends
W6-3,Two Way Traffic
W7-1,Hill
W7-1A,Hill
W7-1B,Hill
"W7-2, W7-2B",Hill Plaque
"W7-3, W7-3A, W7-3B",Hill Plaque
"W7-3A Metric, W7-3B Metric",Hill Plaque
"W7-4, W7-4B",Truck Escape Ramp
W7-4C,Truck Escape Ramp
"W7-4D, W7-4E, W7-4F",Trcuk Escape Ramp Plaque
"W7-5, W7-5A",Bicycle Hill Plaque
W7-6,Hill Blocks View
W8-1,Bump
W8-2,Dip
W8-3,Pavements Ends
W8-4,Soft Shoulder
W8-5,Slippery When Wet
W8-6,Truck Crossing
W8-7,Loose Gravel
W8-8,Loose Gravel
W8-9,Low Shoulder
W8-9A,Shoulder Drop Off
"W8-10A, W8-10A",Bicycle Slippery When Wet Plaque
W8-11,Uneven Lanes
W8-12,No Center Stripe
W8-13,Bridge Ices Before Road
W9-1,Right (Left) Lane Ends
"W9-2R, W9-2L",Lane Ends Merge Left (Right)
"W9-3L, W9-3, W9-3R",Center (Right) (Left) Lane Closed Ahead
W10-1,Highway-Rail Grade Crossing Advance Warning
"W10-2L, W10-2R",Highway-Rail Grade Crossing Advance Warning
"W10-3L, W10-3R",Highway-Rail Grade Crossing Advance Warning
"W10-4L, W10-4R",Highway-Rail Grade Crossing Advance Warning
W10-5,Low Ground Clearance Highway-Rail Grade Crossing
W10-7,Light Rail Activated Blank-Out Symbol
W10-8,Trains May Exceed Xx Mph
W10-9,No Train Horn
W10-10,No Signal
W10-11,Storage Space Symbol
W10-11A,Storage Space Xx Feet (English)
W10-11B,Storage Space Xx Feet (English)
W10-12,Skewed Crossing
W10-13,No Gates Or Lights
W10-14,Next Crossing
W10-14A,Use Next Crossing
W10-15,Rough Crossing
W11-1,Bicycle Traffic
W11-2,Pedestrian Traffic
W11-3,Deer Traffic
W11-4,Cattle Traffic
W11-5,Farm Machinery Traffic
W11-5A,Farm Machinery Traffic
W11-6,Snowmobile Traffic
W11-7,Equestrian Traffic
W11-8,Emergency Vehicle
W11-9,Handicapped
W11-10,Truck Crossing
W11-11,Golf Cart Traffic
W11-12P,Emergency Signal Ahead
W11-14,Horse And Buggy Traffic
W12-1,Double Arrow
W12-2,Low Clearance (English)
"W12-2P, W12-2P Metric","Low Clearance (English), Low Clearance (Metric)"
W13-1,"Advisory Speed (English), Advisory Speed (Metric)"
W13-2,"Advisory Speed (English), Advisory Exit Speed (Metric)"
W13-3,Advisory Ramp Speed
W13-5,Advisory Curve Speed (English)
W13-5 Metric,Advisory Curve Speed (Metric)
W14-1,Dead End
W14-1Ar,Dead End
W14-1Al,Dead End
W14-2Ar,Dead End
W14-2Al,Dead End
W14-2,No Outlet
W14-3,No Passing Zone
W15-1,Playground
W16-1,"Note: For Use With Warning Signs For Slower Forms Of Transportation Such As The Bicycle, Golf Cart, Farm Machiner Y, Horse Drawn Vehicle And Atv Warning Signs."
W16-2,"500 Feet (2 Line) (English), 150 Meters (2 Line) (Metric)"
W16-2A,500 Ft (1 Line) (English)
W16-2A Metric,150 Ft (1 Line) (Metric)
W16-3,2 Miles (2 Line) (English)
W16-3A,2 Miles (1 Line) (English)
W16-4,500 Ft (2 Line) (English)
"W16-5Pr, W16-5Pl",Arrow Plaque
"W16-6Pr, W16-6Pl",Arrow Plaque
"W16-7 Pl, W16-7 Pr","Left Diagonal Arrow Plaque, Right Diagonal Arrow Plaque"
W16-8,Advance Street Name Plaque
W16-9P,Ahead Plaque
W16-8A,Advance Street Name Plaque
W16-10,Photo Enforced
W16-11,HOV
W16-12P,Traffic Circle Plaque
W16-13,When Flashing
W16-17-1,Speed Hump
W18-1,No Traffic Signs
W25-1,Oncoming Traffic Has Extended Green
W25-2,Oncoming Traffic May Have Extended Green
"W1-4BL, W1-4BR",Two Lane Reverse Curve
"W1-4CL, W1-4CR",Three Lane Reverse Curve
W4-7,Thru Traffic Merge Left
W6-4,Two Way Traffic
W9-3A,Center Lane Closed
W13-4,On Ramp
W20-1,ROAD WORK
W20-2,Detour
W20-3,ROAD CLOSED
W20-4,ONE LANE ROAD
W20-5,RIGHT (CENTER) (LEFT) LANE CLOSED
W20-5A,RIGHT TWO LANES CLOSED
W20-7,FLAGGER
W20-7A,FLAGGER
W21-1,WORKERS
W21-1A,WORKERS
W21-2,FRESH OIL (TAR)
W21-3,ROAD MACHINERY
W21-5,SHOULDER WORK
"W21-5AL, W21-5AR",RIGHT (LEFT) SHOULDER CLOSED
"W21-5BL, W21-5BR",RIGHT (LEFT) SHOULDER CLOSED
W21-6,SURVEY CREW
W21-7,UTILITY WORK AHEAD
W22-1,BLASTING ZONE AHEAD
W22-2,TURN OFF 2-WAY RADIO AND CELLPHONE
W22-3,END BLASTING ZONE
W23-1,SLOW TRAFFIC AHEAD
STOP,SLOW PADDLE
"W24-1R, W24-1L",DOUBLE REVERSE CURVE (1 LANE)
"W24-1AR, W24-1AL",DOUBLE REVERSE CURVE (2 LANES)
"W24-1BR, W24-1BL",DOUBLE REVERSE CURVE (3 LANES)
"G20-1, G20-2, G20-4","ROAD WORK NEXT 5 MILES, END ROAD WORK, PILOT CAR FOLLOW ME"
"E5-3, E5-2, E5-2A","EXIT ONLY, EXIT OPEN, ECIT CLOSED"
M4-8,DETOUR
M4-8A,END DETOUR
M4-8B,END
"M4-9R, M4-9L",DETOUR
M4-9A,BICYCLE PEDESTRIAN DETOUR
M4-9B,PEDESTRIAN DETOUR
M4-9C,BICYCLE DETOUR
"M4-10L, M4-10R",DETOUR (INSIDE ARROW)
R1-1,STOP
R1-2,YIELD
R1-2A,TO ONCOMING TRAFFIC
R1-3,4-WAY
R1-4,ALL WAY
R1-5L,YIELD HERE TO PEDESTRIAN
R1-5R,YIELD HERE TO PEDESTRIAN
R1-5AL,YIELD HERE TO PEDESTRIAN
R1-5AR,YIELD HERE TO PEDESTRIAN
R1-6,IN-STREET PEDESTRIAN CROSSING
R1-6A,IN-STREET PEDESTRIAN CROSSING
